source,target,weight,name
0,1,1,Box and Whisker
0,2,1,Box and Whisker
0,4,1,Box and Whisker
0,5,1,Box and Whisker
0,6,1,Box and Whisker
0,9,1,Box and Whisker
0,11,1,Box and Whisker
1,0,1,Circle Graph
1,2,1,Circle Graph
1,3,1,Circle Graph
1,4,1,Circle Graph
1,5,1,Circle Graph
1,6,1,Circle Graph
1,7,1,Circle Graph
1,8,1,Circle Graph
1,9,1,Circle Graph
1,12,1,Circle Graph
1,15,1,Circle Graph
1,17,1,Circle Graph
1,21,1,Circle Graph
1,22,1,Circle Graph
1,23,1,Circle Graph
1,24,1,Circle Graph
1,29,1,Circle Graph
1,30,1,Circle Graph
1,31,1,Circle Graph
1,33,1,Circle Graph
1,38,1,Circle Graph
1,44,1,Circle Graph
1,48,1,Circle Graph
1,49,1,Circle Graph
2,0,1,Histogram as Table or Graph
2,1,1,Histogram as Table or Graph
2,3,1,Histogram as Table or Graph
2,4,1,Histogram as Table or Graph
2,5,1,Histogram as Table or Graph
2,6,1,Histogram as Table or Graph
2,9,1,Histogram as Table or Graph
2,11,1,Histogram as Table or Graph
2,12,1,Histogram as Table or Graph
3,1,1,Number Line
3,2,1,Number Line
3,4,1,Number Line
3,5,1,Number Line
3,6,1,Number Line
3,7,1,Number Line
3,9,1,Number Line
3,12,1,Number Line
3,14,1,Number Line
3,15,1,Number Line
3,25,1,Number Line
3,30,1,Number Line
3,32,1,Number Line
3,34,1,Number Line
3,36,1,Number Line
3,56,1,Number Line
3,64,1,Number Line
3,121,1,Number Line
4,0,1,Scatter Plot
4,1,1,Scatter Plot
4,2,1,Scatter Plot
4,3,1,Scatter Plot
4,5,1,Scatter Plot
4,6,1,Scatter Plot
4,7,1,Scatter Plot
4,25,1,Scatter Plot
4,30,1,Scatter Plot
4,55,1,Scatter Plot
4,61,1,Scatter Plot
4,63,1,Scatter Plot
5,0,1,Stem and Leaf Plot
5,1,1,Stem and Leaf Plot
5,2,1,Stem and Leaf Plot
5,3,1,Stem and Leaf Plot
5,4,1,Stem and Leaf Plot
5,6,1,Stem and Leaf Plot
5,7,1,Stem and Leaf Plot
5,8,1,Stem and Leaf Plot
5,9,1,Stem and Leaf Plot
5,10,1,Stem and Leaf Plot
5,11,1,Stem and Leaf Plot
6,0,1,Table
6,1,1,Table
6,2,1,Table
6,3,1,Table
6,4,1,Table
6,5,1,Table
6,7,1,Table
6,8,1,Table
6,9,1,Table
6,10,1,Table
6,11,1,Table
6,12,1,Table
6,13,1,Table
6,14,1,Table
6,30,1,Table
6,32,1,Table
6,37,1,Table
6,40,1,Table
6,65,1,Table
7,1,1,Venn Diagram
7,3,1,Venn Diagram
7,4,1,Venn Diagram
7,5,1,Venn Diagram
7,6,1,Venn Diagram
7,8,1,Venn Diagram
7,9,1,Venn Diagram
7,10,1,Venn Diagram
7,11,1,Venn Diagram
7,12,1,Venn Diagram
7,13,1,Venn Diagram
7,15,1,Venn Diagram
7,17,1,Venn Diagram
7,24,1,Venn Diagram
7,30,1,Venn Diagram
